UDI,Product ID,Nombre_Producto,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
46,L47225,Producto 1025,Bajo,"298,8","309,1",1489,"49,1",128,0,No Failure
47,M14906,Producto 7021,Medio,"298,7",309,1843,"25,8",130,0,No Failure
48,L47227,Producto 1026,Bajo,"298,8","309,1",1418,"46,3",133,0,No Failure
49,H29462,Producto 008,Alto,"298,8","309,2",1425,"53,9",135,0,No Failure
50,M14909,Producto 7022,Medio,"298,9","309,2",1412,"44,1",140,0,No Failure
51,L47230,Producto 1027,Bajo,"298,9","309,1",2861,"4,6",143,1,Power Failure
52,L47231,Producto 1028,Bajo,"298,9","309,1",1383,"54,9",145,0,No Failure
53,H29466,Producto 009,Alto,"298,8",309,1497,"43,8",147,0,No Failure
54,L47233,Producto 1029,Bajo,"298,7",309,1565,"35,1",152,0,No Failure
55,L47234,Producto 1030,Bajo,"298,7",309,1691,"30,1",154,0,No Failure
56,L47235,Producto 1031,Bajo,"298,8","309,1",1512,"40,7",156,0,No Failure
57,L47236,Producto 1032,Bajo,"298,8","309,1",1477,"42,4",158,0,No Failure
58,L47237,Producto 1033,Bajo,"298,8","309,1",1513,"40,3",160,0,No Failure
59,M14918,Producto 7023,Medio,"298,8",309,1661,"29,5",162,0,No Failure
60,L47239,Producto 1034,Bajo,"298,8","309,1",1378,"54,4",165,0,No Failure
61,L47240,Producto 1035,Bajo,"298,8","309,1",1393,"52,6",167,0,No Failure
62,M14921,Producto 7024,Medio,"298,8",309,1592,"38,2",169,0,No Failure
63,L47242,Producto 1036,Bajo,"298,8",309,1829,"22,9",172,0,No Failure
64,M14923,Producto 7025,Medio,"298,9",309,1812,"25,9",174,0,No Failure
65,L47244,Producto 1037,Bajo,299,"309,1",1523,"38,6",177,0,No Failure
66,L47245,Producto 1038,Bajo,299,"309,1",1394,"45,1",179,0,No Failure
67,M14926,Producto 7026,Medio,"298,9","308,9",1679,"28,7",181,0,No Failure
68,H29481,Producto 010,Alto,"298,8","308,9",1466,"44,1",184,0,No Failure
69,L47248,Producto 1039,Bajo,"298,8","308,9",1527,"32,4",189,0,No Failure
70,L47249,Producto 1040,Bajo,"298,9",309,1410,"65,7",191,1,Power Failure
71,M14930,Producto 7027,Medio,"298,9",309,1924,"22,6",193,0,No Failure
72,L47251,Producto 1041,Bajo,"298,9","309,1",1452,"45,5",196,0,No Failure
73,L47252,Producto 1042,Bajo,"298,9","309,1",1369,"44,4",198,0,No Failure
74,L47253,Producto 1043,Bajo,299,"309,1",1592,35,200,0,No Failure
75,L47254,Producto 1044,Bajo,"298,9",309,1601,"32,3",202,0,No Failure
76,L47255,Producto 1045,Bajo,"298,8","308,9",1379,"46,7",204,0,No Failure
77,L47256,Producto 1046,Bajo,"298,8","308,9",1461,"47,9",206,0,No Failure
78,L47257,Producto 1047,Bajo,"298,8","308,9",1455,"41,3",208,1,Tool Wear Failure
79,L47258,Producto 1048,Bajo,"298,8","308,9",1398,"51,5",0,0,No Failure
80,L47259,Producto 1049,Bajo,"298,8","308,9",1402,"37,9",2,0,No Failure
81,H29494,Producto 011,Alto,"298,8","308,8",1445,"49,9",4,0,No Failure
82,L47261,Producto 1050,Bajo,"298,9","308,9",1450,"47,5",9,0,No Failure
83,L47262,Producto 1051,Bajo,"298,9","308,9",1453,"40,8",11,0,No Failure
84,L47263,Producto 1052,Bajo,299,309,1469,"40,1",13,0,No Failure
85,L47264,Producto 1053,Bajo,"298,9","308,9",1422,"47,6",15,0,No Failure
86,M14945,Producto 7028,Medio,299,309,1804,"26,8",17,0,No Failure
87,H29500,Producto 012,Alto,299,309,1436,"43,9",20,0,No Failure
88,L47267,Producto 1054,Bajo,299,309,1544,"31,8",25,0,No Failure
89,M14948,Producto 7029,Medio,299,309,1419,"45,2",27,0,No Failure
90,M14949,Producto 7030,Medio,"298,9","308,9",1487,"39,5",30,0,No Failure
91,L47270,Producto 1055,Bajo,"298,9","308,9",1753,"25,8",33,0,No Failure
92,L47271,Producto 1056,Bajo,"298,9","308,9",1830,"24,9",35,0,No Failure
93,M14952,Producto 7031,Medio,"298,9","308,9",1727,"27,1",37,0,No Failure
94,L47273,Producto 1057,Bajo,"299,1",309,1450,43,40,0,No Failure
95,L47274,Producto 1058,Bajo,299,"308,9",1622,"31,9",42,0,No Failure
96,M14955,Producto 7032,Medio,299,309,1351,"52,2",44,0,No Failure
97,M14956,Producto 7033,Medio,299,309,1575,"35,3",47,0,No Failure
98,M14957,Producto 7034,Medio,"298,9","308,9",1750,"29,9",50,0,No Failure
99,L47278,Producto 1059,Bajo,"298,9","308,8",1529,"32,7",53,0,No Failure
100,L47279,Producto 1060,Bajo,"298,8","308,8",1523,"44,4",55,0,No Failure
101,L47280,Producto 1061,Bajo,"298,8","308,9",1852,25,57,0,No Failure
102,L47281,Producto 1062,Bajo,"298,8","308,8",1991,"20,7",59,0,No Failure
103,L47282,Producto 1063,Bajo,"298,8","308,8",1555,"40,6",61,0,No Failure
104,M14963,Producto 7035,Medio,"298,8","308,8",1441,"40,5",63,0,No Failure
105,L47284,Producto 1064,Bajo,"298,8","308,7",1450,"43,4",66,0,No Failure
106,L47285,Producto 1065,Bajo,"298,8","308,7",1591,"31,1",68,0,No Failure
107,L47286,Producto 1066,Bajo,"298,8","308,7",1445,"48,5",70,0,No Failure
108,M14967,Producto 7036,Medio,"298,8","308,8",1497,"46,8",72,0,No Failure
109,H29522,Producto 013,Alto,"298,9","308,8",1621,"32,7",75,0,No Failure
110,L47289,Producto 1067,Bajo,"298,9","308,7",1572,"34,1",80,0,No Failure
111,L47290,Producto 1068,Bajo,"298,8","308,6",1872,"22,5",82,0,No Failure
112,H29525,Producto 014,Alto,"298,7","308,6",1499,"43,5",84,0,No Failure
113,M14972,Producto 7037,Medio,"298,8","308,7",1498,"39,5",89,0,No Failure
114,M14973,Producto 7038,Medio,"298,8","308,6",1486,"41,9",92,0,No Failure
115,L47294,Producto 1069,Bajo,"298,8","308,6",1680,"29,4",95,0,No Failure
116,L47295,Producto 1070,Bajo,"298,8","308,6",1431,"45,7",97,0,No Failure
117,L47296,Producto 1071,Bajo,"298,9","308,7",1564,"34,1",99,0,No Failure
118,L47297,Producto 1072,Bajo,"298,8","308,6",1599,33,101,0,No Failure
119,M14978,Producto 7039,Medio,"298,8","308,6",1707,"28,1",103,0,No Failure
120,L47299,Producto 1073,Bajo,"298,7","308,5",1467,"40,7",106,0,No Failure
121,L47300,Producto 1074,Bajo,"298,9","308,7",1433,"44,7",108,0,No Failure
122,L47301,Producto 1075,Bajo,"298,9","308,7",1558,"41,2",110,0,No Failure
123,L47302,Producto 1076,Bajo,299,"308,8",1310,"50,7",112,0,No Failure
124,L47303,Producto 1077,Bajo,"298,9","308,7",1546,"43,4",114,0,No Failure
125,L47304,Producto 1078,Bajo,"298,9","308,7",1727,"29,4",116,0,No Failure
126,L47305,Producto 1079,Bajo,"298,9","308,6",1560,"32,2",118,0,No Failure
127,L47306,Producto 1080,Bajo,299,"308,6",1329,"60,5",120,0,No Failure
128,L47307,Producto 1081,Bajo,"298,9","308,6",1413,"46,5",122,0,No Failure
129,L47308,Producto 1082,Bajo,299,"308,6",1587,"38,6",124,0,No Failure
130,L47309,Producto 1083,Bajo,"298,9","308,5",1559,"34,3",126,0,No Failure
131,L47310,Producto 1084,Bajo,"298,8","308,4",1473,"41,1",128,0,No Failure
132,L47311,Producto 1085,Bajo,"298,8","308,4",1737,"27,7",130,0,No Failure
133,M14992,Producto 7040,Medio,"298,7","308,4",1441,"43,2",132,0,No Failure
134,M14993,Producto 7041,Medio,"298,7","308,4",1430,"49,6",135,0,No Failure
135,L47314,Producto 1086,Bajo,"298,8","308,4",1369,53,138,0,No Failure
136,M14995,Producto 7042,Medio,"298,8","308,5",1711,"28,5",140,0,No Failure
137,H29550,Producto 015,Alto,"298,7","308,5",1420,"45,7",143,0,No Failure
138,L47317,Producto 1087,Bajo,"298,7","308,6",1297,"55,3",148,0,No Failure
139,H29552,Producto 016,Alto,"298,8","308,6",1449,"49,4",150,0,No Failure
140,L47319,Producto 1088,Bajo,"298,8","308,6",1268,"55,8",155,0,No Failure
141,L47320,Producto 1089,Bajo,"298,8","308,6",1511,"36,1",157,0,No Failure
142,L47321,Producto 1090,Bajo,"298,7","308,5",1544,"35,2",159,0,No Failure
143,M15002,Producto 7043,Medio,"298,6","308,4",1778,"28,2",161,0,No Failure
144,H29557,Producto 017,Alto,"298,6","308,4",1407,"50,5",164,0,No Failure
145,M15004,Producto 7044,Medio,"298,6","308,4",1391,"42,4",169,0,No Failure
146,L47325,Producto 1091,Bajo,"298,5","308,4",1513,"33,6",172,0,No Failure
147,H29560,Producto 018,Alto,"298,5","308,4",1612,"36,1",174,0,No Failure
148,L47327,Producto 1092,Bajo,"298,4","308,4",1515,"40,1",179,0,No Failure
149,M15008,Producto 7045,Medio,"298,3","308,3",1379,48,181,0,No Failure
150,L47329,Producto 1093,Bajo,"298,4","308,3",1473,"39,9",184,0,No Failure
151,L47330,Producto 1094,Bajo,"298,4","308,3",1422,"42,7",186,0,No Failure
152,M15011,Producto 7046,Medio,"298,4","308,2",1463,"37,6",188,0,No Failure
153,M15012,Producto 7047,Medio,"298,4","308,2",1584,41,191,0,No Failure
154,L47333,Producto 1095,Bajo,"298,4","308,2",1850,27,194,0,No Failure
155,L47334,Producto 1096,Bajo,"298,4","308,2",1528,"36,2",196,0,No Failure
156,H29569,Producto 019,Alto,"298,4","308,2",1987,"19,8",198,0,No Failure
157,M15016,Producto 7048,Medio,"298,4","308,1",1495,46,203,0,No Failure
158,H29571,Producto 020,Alto,"298,4","308,2",1478,"43,5",206,0,No Failure
159,M15018,Producto 7049,Medio,"298,4","308,2",1499,40,211,0,No Failure
160,L47339,Producto 1097,Bajo,"298,4","308,2",1471,47,214,0,No Failure
161,L47340,Producto 1098,Bajo,"298,4","308,2",1282,"60,7",216,1,Overstrain Failure
162,L47341,Producto 1099,Bajo,"298,3","308,1",1412,"52,3",218,1,Overstrain Failure
163,L47342,Producto 1100,Bajo,"298,3","308,1",1586,"35,5",0,0,No Failure
164,M15023,Producto 7050,Medio,"298,4","308,2",1468,"43,8",2,0,No Failure
165,M15024,Producto 7051,Medio,"298,5","308,3",1440,"43,6",5,0,No Failure
166,L47345,Producto 1101,Bajo,"298,5","308,4",1733,26,8,0,No Failure
167,H29580,Producto 021,Alto,"298,4","308,2",1612,"32,6",10,0,No Failure
168,H29581,Producto 022,Alto,"298,4","308,3",1458,"42,9",15,0,No Failure
169,L47348,Producto 1102,Bajo,"298,4","308,3",1433,"62,3",20,1,Power Failure
170,L47349,Producto 1103,Bajo,"298,4","308,3",1318,"59,1",22,0,No Failure
171,M15030,Producto 7052,Medio,"298,4","308,2",1610,35,24,0,No Failure
172,L47351,Producto 1104,Bajo,"298,2","308,1",1462,"50,8",27,0,No Failure
173,M15032,Producto 7053,Medio,"298,1",308,1924,"20,8",29,0,No Failure
174,M15033,Producto 7054,Medio,"298,2",308,1591,"33,7",32,0,No Failure
175,L47354,Producto 1105,Bajo,"298,2","308,1",1306,"58,3",35,0,No Failure
176,L47355,Producto 1106,Bajo,"298,2","308,1",1382,"43,5",37,0,No Failure
177,L47356,Producto 1107,Bajo,"298,2","308,1",1618,"34,7",39,0,No Failure
178,L47357,Producto 1108,Bajo,"298,2","308,2",1988,"21,4",41,0,No Failure
179,L47358,Producto 1109,Bajo,"298,2","308,2",1436,"50,2",43,0,No Failure
180,L47359,Producto 1110,Bajo,"298,2","308,3",1304,"49,8",45,0,No Failure
181,L47360,Producto 1111,Bajo,"298,2","308,3",1475,"49,9",47,0,No Failure
182,H29595,Producto 023,Alto,"298,2","308,3",1824,"24,2",49,0,No Failure
183,M15042,Producto 7055,Medio,"298,1","308,2",1342,"48,1",54,0,No Failure
184,L47363,Producto 1112,Bajo,"298,1","308,2",1485,"40,7",57,0,No Failure
185,L47364,Producto 1113,Bajo,"298,2","308,2",1667,"30,6",59,0,No Failure
186,L47365,Producto 1114,Bajo,"298,2","308,2",1446,"38,2",61,0,No Failure
187,L47366,Producto 1115,Bajo,"298,1","308,3",1301,56,63,0,No Failure
188,L47367,Producto 1116,Bajo,"298,2","308,4",1379,"43,1",65,0,No Failure
189,L47368,Producto 1117,Bajo,"298,3","308,5",1606,"33,6",67,0,No Failure
190,M15049,Producto 7056,Medio,"298,3","308,4",1539,"43,4",69,0,No Failure
191,L47370,Producto 1118,Bajo,"298,2","308,4",1477,"49,9",72,0,No Failure
192,L47371,Producto 1119,Bajo,"298,2","308,4",1666,"34,6",74,0,No Failure
193,H29606,Producto 024,Alto,"298,2","308,4",1398,"51,8",76,0,No Failure
194,H29607,Producto 025,Alto,"298,2","308,4",1678,"34,6",81,0,No Failure
195,M15054,Producto 7057,Medio,"298,2","308,5",2678,"10,7",86,1,Power Failure
196,L47375,Producto 1120,Bajo,"298,3","308,5",1453,"42,9",89,0,No Failure
197,H29610,Producto 026,Alto,"298,3","308,6",1432,"49,5",91,0,No Failure
198,M15057,Producto 7058,Medio,"298,4","308,6",1527,"40,9",96,0,No Failure
199,L47378,Producto 1121,Bajo,"298,4","308,7",1588,35,99,0,No Failure
200,L47379,Producto 1122,Bajo,"298,4","308,6",1433,"47,1",101,0,No Failure
201,L47380,Producto 1123,Bajo,"298,4","308,6",1609,35,103,0,No Failure
202,L47381,Producto 1124,Bajo,"298,3","308,5",1575,"41,2",105,0,No Failure
203,M15062,Producto 7059,Medio,"298,4","308,5",1636,"35,7",107,0,No Failure
204,L47383,Producto 1125,Bajo,"298,4","308,5",1490,"37,9",110,0,No Failure
205,L47384,Producto 1126,Bajo,"298,4","308,5",1741,"32,8",112,0,No Failure
206,M15065,Producto 7060,Medio,"298,5","308,6",1344,53,114,0,No Failure
207,L47386,Producto 1127,Bajo,"298,5","308,7",1609,"35,3",117,0,No Failure
208,M15067,Producto 7061,Medio,"298,4","308,7",1421,"60,7",119,1,Power Failure
209,L47388,Producto 1128,Bajo,"298,4","308,6",1591,"36,7",122,0,No Failure
210,L47389,Producto 1129,Bajo,"298,4","308,6",1477,44,124,0,No Failure
211,L47390,Producto 1130,Bajo,"298,4","308,7",1523,"36,1",126,0,No Failure
212,L47391,Producto 1131,Bajo,"298,5","308,7",1575,"33,9",128,0,No Failure
213,H29626,Producto 027,Alto,"298,4","308,7",1344,"52,9",130,0,No Failure
214,L47393,Producto 1132,Bajo,"298,4","308,7",1386,"44,9",135,0,No Failure
215,M15074,Producto 7062,Medio,"298,3","308,6",1589,"37,1",137,0,No Failure
216,L47395,Producto 1133,Bajo,"298,3","308,6",1548,"40,3",140,0,No Failure
217,L47396,Producto 1134,Bajo,"298,3","308,6",1499,"38,3",142,0,No Failure
218,L47397,Producto 1135,Bajo,"298,3","308,5",1664,"31,6",144,0,No Failure
219,L47398,Producto 1136,Bajo,"298,3","308,6",1447,"38,1",146,0,No Failure
220,M15079,Producto 7063,Medio,"298,3","308,5",1434,"46,2",148,0,No Failure
221,L47400,Producto 1137,Bajo,"298,3","308,5",1416,"52,7",151,0,No Failure
222,H29635,Producto 028,Alto,"298,4","308,5",1827,"24,3",153,0,No Failure
223,L47402,Producto 1138,Bajo,"298,4","308,6",1304,45,158,0,No Failure
224,L47403,Producto 1139,Bajo,"298,4","308,6",1569,"34,4",160,0,No Failure
225,L47404,Producto 1140,Bajo,"298,3","308,6",1584,"29,3",162,0,No Failure
226,L47405,Producto 1141,Bajo,"298,3","308,5",1362,"53,8",164,0,No Failure
227,L47406,Producto 1142,Bajo,"298,3","308,4",1329,"49,2",166,0,No Failure
228,L47407,Producto 1143,Bajo,"298,3","308,5",1539,"36,1",168,0,No Failure
229,M15088,Producto 7064,Medio,"298,3","308,5",1629,"37,1",170,0,No Failure
230,L47409,Producto 1144,Bajo,"298,3","308,5",1538,"32,2",173,0,No Failure
231,L47410,Producto 1145,Bajo,"298,3","308,6",1570,"34,8",175,0,No Failure
232,L47411,Producto 1146,Bajo,"298,3","308,4",1408,"43,1",177,0,No Failure
233,L47412,Producto 1147,Bajo,"298,2","308,4",1424,"47,6",179,0,No Failure
234,L47413,Producto 1148,Bajo,"298,2","308,4",1512,"34,9",181,0,No Failure
235,L47414,Producto 1149,Bajo,"298,2","308,4",1478,"42,9",183,0,No Failure
236,M15095,Producto 7065,Medio,"298,1","308,3",1680,"33,7",185,0,No Failure
237,L47416,Producto 1150,Bajo,"298,1","308,3",1495,"38,7",188,0,No Failure
238,M15097,Producto 7066,Medio,298,"308,1",1552,"36,6",190,0,No Failure
239,L47418,Producto 1151,Bajo,"297,9","308,1",1393,"50,3",193,0,No Failure
240,L47419,Producto 1152,Bajo,298,"308,2",1611,"30,6",195,0,No Failure
241,M15100,Producto 7067,Medio,298,"308,1",1339,"51,6",197,0,No Failure
242,L47421,Producto 1153,Bajo,298,"308,1",1777,"24,3",200,0,No Failure
243,L47422,Producto 1154,Bajo,298,"308,2",1348,"58,8",202,1,Overstrain Failure
244,L47423,Producto 1155,Bajo,298,"308,2",1442,"44,1",204,0,No Failure
245,M15104,Producto 7068,Medio,298,"308,2",1395,"49,1",206,0,No Failure
246,M15105,Producto 7069,Medio,"297,9","308,1",1627,"31,4",209,0,No Failure
247,L47426,Producto 1156,Bajo,"297,9","308,1",1585,"33,5",212,0,No Failure
248,L47427,Producto 1157,Bajo,298,"308,2",1469,"45,5",214,0,No Failure
249,L47428,Producto 1158,Bajo,298,"308,3",1362,"56,8",216,1,Overstrain Failure
250,L47429,Producto 1159,Bajo,298,"308,3",1405,"56,2",218,1,Overstrain Failure
251,L47430,Producto 1160,Bajo,298,"308,3",1662,"32,7",0,0,No Failure
252,M15111,Producto 7070,Medio,298,"308,2",1466,"42,6",2,0,No Failure
253,L47432,Producto 1161,Bajo,298,"308,2",1620,"35,8",5,0,No Failure
254,L47433,Producto 1162,Bajo,298,"308,2",1357,"48,2",7,0,No Failure
255,L47434,Producto 1163,Bajo,298,"308,2",1514,"37,9",9,0,No Failure
256,L47435,Producto 1164,Bajo,298,"308,2",1489,"40,4",11,0,No Failure
257,L47436,Producto 1165,Bajo,"298,1","308,3",1331,63,13,0,No Failure
258,L47437,Producto 1166,Bajo,298,308,1615,"29,5",15,0,No Failure
259,L47438,Producto 1167,Bajo,"298,1","308,2",1482,"37,9",17,0,No Failure
260,M15119,Producto 7071,Medio,"298,1","308,2",1420,"63,9",19,1,Power Failure
261,M15120,Producto 7072,Medio,"298,2","308,3",1522,"49,1",22,0,No Failure
262,L47441,Producto 1168,Bajo,"298,1","308,2",1654,"32,1",25,0,No Failure
263,M15122,Producto 7073,Medio,"298,1","308,2",1736,"26,8",27,0,No Failure
264,M15123,Producto 7074,Medio,298,"308,1",1587,"32,3",30,0,No Failure
265,L47444,Producto 1169,Bajo,"298,1","308,2",1390,"47,5",33,0,No Failure
266,L47445,Producto 1170,Bajo,298,"308,1",1454,"37,1",35,0,No Failure
267,H29680,Producto 029,Alto,298,"308,1",1440,"43,7",37,0,No Failure
268,L47447,Producto 1171,Bajo,"297,9",308,1954,"21,1",42,0,No Failure
269,H29682,Producto 030,Alto,"297,9",308,1800,"24,8",44,0,No Failure
270,L47449,Producto 1172,Bajo,298,308,1524,37,49,0,No Failure
271,H29684,Producto 031,Alto,298,308,1520,"39,6",51,0,No Failure
272,M15131,Producto 7075,Medio,"298,1","308,1",1452,"40,8",56,0,No Failure
273,L47452,Producto 1173,Bajo,"298,1","308,1",1484,"40,4",59,0,No Failure
274,L47453,Producto 1174,Bajo,"298,1",308,1426,46,61,0,No Failure
275,L47454,Producto 1175,Bajo,"298,1",308,1652,"28,5",63,0,No Failure
276,L47455,Producto 1176,Bajo,298,308,1401,"54,7",65,0,No Failure
277,M15136,Producto 7076,Medio,298,"307,9",1750,"26,6",67,0,No Failure
278,H29691,Producto 032,Alto,298,308,1479,"50,7",70,0,No Failure
279,M15138,Producto 7077,Medio,298,308,1620,"29,4",75,0,No Failure
280,L47459,Producto 1177,Bajo,298,"308,1",1819,"23,4",78,0,No Failure
281,M15140,Producto 7078,Medio,"298,1","308,1",1456,"43,7",80,0,No Failure
282,L47461,Producto 1178,Bajo,"298,1",308,1626,"36,5",83,0,No Failure
283,M15142,Producto 7079,Medio,"298,1","308,1",1390,"49,8",85,0,No Failure
284,L47463,Producto 1179,Bajo,"298,2","308,2",1469,43,88,0,No Failure
285,L47464,Producto 1180,Bajo,"298,2","308,3",2051,"19,2",90,0,No Failure
286,L47465,Producto 1181,Bajo,"298,2","308,3",1568,36,92,0,No Failure
287,L47466,Producto 1182,Bajo,"298,2","308,3",1589,"33,2",94,0,No Failure
288,L47467,Producto 1183,Bajo,"298,2","308,3",1805,"31,6",96,0,No Failure
289,H29702,Producto 033,Alto,"298,2","308,4",1385,"42,2",98,0,No Failure
290,L47469,Producto 1184,Bajo,"298,1","308,4",1436,"46,7",103,0,No Failure
291,L47470,Producto 1185,Bajo,"298,1","308,4",1438,"45,6",105,0,No Failure
292,L47471,Producto 1186,Bajo,298,"308,3",1473,"42,6",107,0,No Failure
293,L47472,Producto 1187,Bajo,"298,1","308,4",1335,"40,2",109,0,No Failure
294,H29707,Producto 034,Alto,"298,1","308,5",1392,"44,8",111,0,No Failure
295,M15154,Producto 7080,Medio,"298,1","308,5",1372,"51,1",116,0,No Failure
296,M15155,Producto 7081,Medio,"298,1","308,6",1716,"30,7",119,0,No Failure
297,L47476,Producto 1188,Bajo,298,"308,5",1395,"46,2",122,0,No Failure
298,L47477,Producto 1189,Bajo,298,"308,5",1713,"25,3",124,0,No Failure
299,H29712,Producto 035,Alto,"297,9","308,5",2129,"18,7",126,0,No Failure
300,M15159,Producto 7082,Medio,"297,8","308,3",1567,"35,6",131,0,No Failure
301,L47480,Producto 1190,Bajo,"297,8","308,4",1622,"38,3",134,0,No Failure
302,L47481,Producto 1191,Bajo,"297,7","308,4",1740,"27,1",136,0,No Failure
303,H29716,Producto 036,Alto,"297,8","308,4",1512,"35,1",138,0,No Failure
304,M15163,Producto 7083,Medio,"297,8","308,4",1479,"43,5",143,0,No Failure
305,L47484,Producto 1192,Bajo,"297,8","308,4",1737,"27,5",146,0,No Failure
306,L47485,Producto 1193,Bajo,"297,8","308,4",2129,"19,2",148,0,No Failure
307,L47486,Producto 1194,Bajo,"297,8","308,4",1374,"47,1",150,0,No Failure
308,M15167,Producto 7084,Medio,"297,8","308,4",1579,"36,6",152,0,No Failure
309,L47488,Producto 1195,Bajo,"297,9","308,5",1305,"47,2",155,0,No Failure
310,M15169,Producto 7085,Medio,"297,9","308,5",1449,"40,8",157,0,No Failure
311,H29724,Producto 037,Alto,298,"308,6",1526,"41,8",160,0,No Failure
312,M15171,Producto 7086,Medio,298,"308,6",1453,"44,1",165,0,No Failure
313,L47492,Producto 1196,Bajo,"297,9","308,6",1468,36,168,0,No Failure
314,L47493,Producto 1197,Bajo,298,"308,6",1313,"50,8",170,0,No Failure
315,M15174,Producto 7087,Medio,"297,9","308,5",1300,53,172,0,No Failure
316,L47495,Producto 1198,Bajo,"297,9","308,4",1646,"40,6",175,0,No Failure
317,L47496,Producto 1199,Bajo,"297,8","308,4",1714,"33,2",177,0,No Failure
318,L47497,Producto 1200,Bajo,"297,8","308,4",1685,"28,4",179,0,No Failure
319,L47498,Producto 1201,Bajo,"297,8","308,4",1512,"39,9",181,0,No Failure
320,L47499,Producto 1202,Bajo,"297,8","308,4",1612,"32,1",183,0,No Failure
321,H29734,Producto 038,Alto,"297,8","308,4",1550,"38,2",185,0,No Failure
322,L47501,Producto 1203,Bajo,"297,8","308,4",1518,"32,5",190,0,No Failure
323,L47502,Producto 1204,Bajo,"297,8","308,5",1448,40,192,0,No Failure
324,L47503,Producto 1205,Bajo,"297,8","308,5",1561,"46,3",194,0,No Failure
